assay_component_name	technological_target_type_sub	chnm	casn	stkc	stkc_unit	apid	rowi	coli	wllt	wllq	conc	rval	srcf
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	5	6	t	1	0.37037037	0.61	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	5	7	t	1	0.37037037	0.67	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	4	6	t	1	1.111111111	0.74	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	4	7	t	1	1.111111111	0.59	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	3	6	t	1	3.333333333	0.79	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	3	7	t	1	3.333333333	0.76	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	2	6	t	1	10	0.79	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,2-Phenylenediamine	95-54-5	100	mM	02Apr2014.Plate.10	2	7	t	1	10	0.94	2900-100644 TO3 DR 02Apr2014 Plate 10_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	149062-75-9	10	mM	26Mar2014.Plate.18	7	4	t	1	0.041152263	0.11	2900-100644 TO3 DR 26Mar2014 Plate 18_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	149062-75-9	10	mM	26Mar2014.Plate.18	7	5	t	1	0.041152263	0.12	2900-100644 TO3 DR 26Mar2014 Plate 18_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	149062-75-9	10	mM	26Mar2014.Plate.18	6	5	t	1	0.12345679	0.1	2900-100644 TO3 DR 26Mar2014 Plate 18_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	149062-75-9	10	mM	26Mar2014.Plate.18	6	4	t	1	0.12345679	0.11	2900-100644 TO3 DR 26Mar2014 Plate 18_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	149062-75-9	10	mM	26Mar2014.Plate.18	5	5	t	1	0.37037037	0.12	2900-100644 TO3 DR 26Mar2014 Plate 18_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	149062-75-9	10	mM	26Mar2014.Plate.18	4	5	t	1	1.111111111	0.14	2900-100644 TO3 DR 26Mar2014 Plate 18_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	149062-75-9	10	mM	26Mar2014.Plate.18	4	4	t	1	1.111111111	0.12	2900-100644 TO3 DR 26Mar2014 Plate 18_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	149062-75-9	10	mM	26Mar2014.Plate.18	3	5	t	1	3.333333333	0.23	2900-100644 TO3 DR 26Mar2014 Plate 18_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	149062-75-9	10	mM	26Mar2014.Plate.18	3	4	t	1	3.333333333	0.22	2900-100644 TO3 DR 26Mar2014 Plate 18_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	149062-75-9	10	mM	26Mar2014.Plate.18	2	5	t	1	10	0.18	2900-100644 TO3 DR 26Mar2014 Plate 18_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	149062-75-9	10	mM	26Mar2014.Plate.18	2	4	t	1	10	0.17	2900-100644 TO3 DR 26Mar2014 Plate 18_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	7	7	t	1	0.411522634	0.59	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	7	6	t	1	0.411522634	0.51	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	6	6	t	1	1.234567901	0.52	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	6	7	t	1	1.234567901	0.5	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	5	7	t	1	3.703703704	0.81	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	5	6	t	1	3.703703704	0.79	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	4	6	t	1	11.11111111	1.16	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1,4-Benzenediamine	106-50-3	100	mM	09Apr2014.Plate.30	4	7	t	1	11.11111111	0.98	2900-100644 TO3 DR 09Apr2014 Plate 30_Cyprotex.csv
